epoch,loss,acc,val_loss,val_acc,network
23,0.0321,0.9916,0.0722,0.9850,dropout_no_pool
24,0.0364,0.9899,0.0655,0.9889,dropout_no_pool
25,0.0312,0.9917,0.0681,0.9869,dropout_no_pool
26,0.0280,0.9921,0.0594,0.9888,dropout_no_pool
27,0.0274,0.9920,0.0522,0.9898,dropout_no_pool
28,0.0316,0.9916,0.0566,0.9889,dropout_no_pool
29,0.0250,0.9927,0.0728,0.9875,dropout_no_pool
30,0.0295,0.9915,0.0664,0.9870,dropout_no_pool
31,0.0279,0.9924,0.0742,0.9867,dropout_no_pool
32,0.0224,0.9938,0.0616,0.9902,dropout_no_pool
33,0.0190,0.9950,0.0870,0.9850,dropout_no_pool
34,0.0280,0.9932,0.0678,0.9875,dropout_no_pool
35,0.0230,0.9938,0.0789,0.9869,dropout_no_pool
36,0.0285,0.9932,0.0792,0.9856,dropout_no_pool
37,0.0290,0.9929,0.0742,0.9872,dropout_no_pool
38,0.0269,0.9930,0.0689,0.9872,dropout_no_pool
39,0.0257,0.9936,0.0848,0.9860,dropout_no_pool
40,0.0274,0.9928,0.0723,0.9862,dropout_no_pool
41,0.0218,0.9946,0.0753,0.9892,dropout_no_pool
42,0.0248,0.9943,0.0607,0.9885,dropout_no_pool
43,0.0214,0.9948,0.0675,0.9880,dropout_no_pool
44,0.0252,0.9937,0.0711,0.9883,dropout_no_pool
45,0.0200,0.9946,0.0800,0.9881,dropout_no_pool
46,0.0223,0.9945,0.0743,0.9889,dropout_no_pool
47,0.0220,0.9942,0.0728,0.9885,dropout_no_pool
48,0.0284,0.9936,0.0724,0.9870,dropout_no_pool
49,0.0193,0.9946,0.0662,0.9890,dropout_no_pool
50,0.0274,0.9934,0.0902,0.9846,dropout_no_pool
51,0.0253,0.9945,0.0761,0.9879,dropout_no_pool
52,0.0320,0.9928,0.0762,0.9883,dropout_no_pool
53,0.0212,0.9949,0.0626,0.9901,dropout_no_pool
